EXP,Section_1_Ra_Measured,Section_2_Ra_Measured,Section_3_Ra_Measured,Section_1_Ra_Tolerance,Section_2_Ra_Tolerance,Section_3_Ra_Tolerance
1,0.662,0.329,0.579,0.8,0.8,0.8
2,0.281,0.349,0.217,0.8,0.8,0.8
3,0.729,0.521,0.804,0.8,0.8,0.8
4,0.501,0.394,0.406,0.8,0.8,0.8
5,0.331,0.329,0.428,0.8,0.8,0.8
6,0.91,0.342,0.55,0.8,0.8,0.8
7,0.379,0.261,0.338,0.8,0.8,0.8
8,0.635,0.353,0.354,0.8,0.8,0.8
9,0.465,0.401,0.44,0.8,0.8,0.8
10,0.408,0.178,0.507,0.8,0.8,0.8
11,0.327,0.323,0.477,0.8,0.8,0.8
12,0.31,0.287,0.406,0.8,0.8,0.8
13,0.197,0.49,0.328,0.8,0.8,0.8
14,0.291,0.295,0.242,0.8,0.8,0.8
15,0.28,0.338,0.266,0.8,0.8,0.8
16,0.371,0.508,0.345,0.8,0.8,0.8
17,0.271,0.282,0.192,0.8,0.8,0.8
18,0.197,0.333,0.189,0.8,0.8,0.8
19,0.42,0.337,0.435,0.8,0.8,0.8
20,0.182,0.174,0.191,0.8,0.8,0.8
21,0.223,0.66,0.251,0.8,0.8,0.8
22,0.126,0.675,0.447,0.8,0.8,0.8
23,0.134,0.546,0.117,0.8,0.8,0.8
24,0.4,0.514,0.126,0.8,0.8,0.8
25,0.18,0.714,0.217,0.8,0.8,0.8
26,0.127,0.47,0.344,0.8,0.8,0.8
27,0.2,0.533,0.257,0.8,0.8,0.8
28,0.264,0.645,0.155,0.8,0.8,0.8
29,0.292,0.29,0.241,0.8,0.8,0.8
30,0.196,0.495,0.331,0.8,0.8,0.8
31,0.224,0.282,0.189,0.8,0.8,0.8
32,0.293,0.295,0.328,0.8,0.8,0.8
33,0.324,0.315,0.403,0.8,0.8,0.8
34,0.471,0.42,0.338,0.8,0.8,0.8
